,SEQ,LV_DESC,NUM_OF_PEOPLE,STOCK_SHARES,PER_CENT_RT
0,1,1-999,19893,1544563,0.36
1,2,1000-5000,27114,55248227,12.89
2,3,5001-10000,4612,34532732,8.05
3,4,10001-15000,1791,21691429,5.06
4,5,15001-20000,889,16047506,3.74
5,6,20001-30000,851,20940859,4.88
6,7,30001-40000,410,14349171,3.34
7,8,40001-50000,274,12570877,2.93
8,9,50001-100000,499,34743081,8.10
9,10,100001-200000,215,30144819,7.03
10,11,200001-400000,88,25080664,5.85
11,12,400001-600000,34,16982507,3.96
12,13,600001-800000,14,9648329,2.25
13,14,800001-1000000,6,5149838,1.20
14,15,1000001以上,41,129821871,30.29
