,證券代號,證券名稱,公司名稱,實收資本額,上市日期,殖利率(%),股利年度,本益比,股價淨值比
0,1102,亞泥,亞洲水泥股份有限公司,35455720710,19620608,7.97,109,9.95,1.01
1,1103,嘉泥,嘉新水泥股份有限公司,7747805480,19691114,6.85,109,7.20,0.51
2,1109,信大,信大水泥股份有限公司,3419578680,19911205,7.48,109,7.08,0.92
3,1305,華夏,華夏海灣塑膠股份有限公司,5810504940,19730305,6.86,109,6.75,1.84
4,1309,台達化,台達化學工業股份有限公司,3786541410,19860627,8.97,109,5.78,1.73
5,1325,恆大,恒大股份有限公司,852811980,20000911,26.70,109,4.66,1.31
6,1409,新纖,新光合成纖維股份有限公司,16184092910,19730831,5.54,109,8.74,0.94
7,1423,利華,利華羊毛工業股份有限公司,1384000000,19790402,9.16,109,4.49,0.90
8,1513,中興電,中興電工機械股份有限公司,4761343100,19940308,5.08,109,9.21,1.86
9,1515,力山,力山工業股份有限公司,1814735000,19950204,6.36,109,8.91,2.64
10,1598,岱宇,岱宇國際股份有限公司,1339822540,20160920,13.94,109,6.08,1.67
11,1604,聲寶,聲寶股份有限公司,3872000000,19701214,8.49,109,6.36,1.29
12,1904,正隆,正隆股份有限公司,11082745220,19710910,5.34,109,8.73,1.40
13,2020,美亞,美亞鋼管廠股份有限公司,2225261000,19930427,5.26,109,9.07,2.01
14,2115,六暉-KY,六暉控股股份有限公司,994030130,20131225,6.19,109,9.64,1.41
15,2204,中華,中華汽車工業股份有限公司,5536203420,19910312,11.02,109,8.72,0.85
16,2324,仁寶,仁寶電腦工業股份有限公司,44071466250,19920218,6.69,109,7.42,0.96
17,2347,聯強,聯強國際股份有限公司,16679469680,19951213,5.20,109,6.34,1.79
18,2348,海悅,海悅國際開發股份有限公司,1364619250,19960105,7.41,109,8.65,2.92
19,2352,佳世達,佳世達科技股份有限公司,19667819580,19960722,5.07,109,6.42,1.61
20,2357,華碩,華碩電腦股份有限公司,7427602800,19961114,7.08,109,6.44,1.26
21,2417,圓剛,圓剛科技股份有限公司,1543138640,20000911,8.25,109,8.98,1.10
22,2458,義隆,義隆電子股份有限公司,3038803920,20010917,5.44,109,9.48,4.96
23,2474,可成,可成科技股份有限公司,7616180690,20010917,7.84,109,6.10,0.77
24,2505,國揚,國揚實業股份有限公司,3800000000,19791114,10.75,109,8.61,0.96
25,2520,冠德,冠德建設股份有限公司,5541701000,19931027,9.03,109,4.43,1.24
26,2535,達欣工,達欣工程股份有限公司,3380187800,19960311,7.86,109,8.41,1.26
27,2545,皇翔,皇翔建設股份有限公司,3277348080,20000911,12.23,109,8.16,1.10
28,2546,根基,根基營造股份有限公司,1060356600,20000911,7.36,109,6.96,1.55
29,2855,統一證,統一綜合證券股份有限公司,14558313430,20020916,8.33,109,6.55,1.07
30,2915,潤泰全,潤泰全球股份有限公司,7343187720,19770720,5.31,109,3.56,0.53
31,3005,神基,神基投資控股股份有限公司,5954614000,20020225,6.75,109,7.33,1.85
32,3026,禾伸堂,禾伸堂企業股份有限公司,1579907790,20020826,6.90,109,9.69,1.92
33,3028,增你強,增你強股份有限公司,2138248640,20020826,5.66,109,8.65,1.40
34,3048,益登,益登科技股份有限公司,2448297940,20021001,8.96,109,7.54,1.99
35,3056,總太,總太地產開發股份有限公司,2107907080,20030303,10.76,109,5.78,1.73
36,3209,全科,全科科技股份有限公司,2005321840,20081126,6.90,109,8.12,1.66
37,3557,嘉威,嘉威生活股份有限公司,803004150,20080227,7.78,109,9.71,2.64
38,3669,圓展,圓展科技股份有限公司,929199500,20110825,9.92,109,5.73,1.64
39,3679,新至陞,新至陞科技股份有限公司,626712290,20111005,11.24,109,8.79,1.34
40,3702,大聯大,大聯大投資控股股份有限公司,18790568330,20051109,6.13,109,8.74,1.40
41,4930,燦星網,燦星網通股份有限公司,1343000000,20100621,14.17,109,7.24,0.92
42,4935,茂林-KY,茂林光電科技(開曼)股份有限公司,1309370910,20110728,7.09,109,7.29,1.37
43,4942,嘉彰,嘉彰股份有限公司,1423676130,20110627,5.33,109,7.25,0.87
44,5215,科嘉-KY,科嘉(開曼)股份有限公司,643375000,20111226,10.35,109,6.96,1.54
45,5515,建國,建國工程股份有限公司,2574401050,20031006,5.84,109,7.57,0.75
46,5519,隆大,隆大營建事業股份有限公司,2191971800,20140210,8.53,109,9.38,1.08
47,6005,群益證,群益金鼎證券股份有限公司,21709080970,20051121,6.75,109,6.76,0.94
48,6176,瑞儀,瑞儀光電股份有限公司,4650272630,20070515,8.14,109,8.34,1.55
49,6239,力成,力成科技股份有限公司,7791466340,20041108,5.19,109,9.20,1.54
50,6257,矽格,矽格股份有限公司,4444791420,20030825,5.02,109,9.97,1.79
51,8112,至上,至上電子股份有限公司,4284964730,20071231,6.32,109,7.49,1.93
52,8213,志超,志超科技股份有限公司,2712424880,20091225,7.35,109,7.87,0.98
53,9945,潤泰新,潤泰創新國際股份有限公司,21068333970,19920430,8.14,109,8.66,1.22
